"ポートフォリオ一覧",
"一括表示",
"PTS株価非表示",
"総件数：40件",
"選択範囲：1-40件",
"ページ：1",
"株式（現物/特定預り）",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"2168 パソナグループ","2026/03/02",1,2022,1861,-22,-1.17,-161,-7.96,1861,
"8303 ＳＢＩ新生銀行","2026/03/02",1,1790,1686.5,-34,-1.98,-103.5,-5.78,1686.5,
"8316 三井住友","2026/03/02",2,5740,5053,-193,-3.68,-1374,-11.97,10106,
"5970 ジーテクト","2026/03/03",5,1970,1802,-72,-3.84,-840,-8.53,9010,
"株式(現物/特定預り)合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
22663.5,-2478.5,-9.86,-802,-3.42,
"株式（現物/NISA預り（成長投資枠））",
"銘柄（コード）","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"4845 スカラ","2025/10/15",100,391,348,-5,-1.42,-4300,-11.00,34800,
"9432 ＮＴＴ","----/--/--",1000,152,156.3,-2.7,-1.70,+4300,+2.83,156300,
"9434 ソフトバンク","----/--/--",500,212,212.9,-5.6,-2.56,+450,+0.42,106450,
"2181 パーソルＨＤ","2026/02/24",100,242,227.1,-6,-2.57,-1490,-6.16,22710,
"4820 ＥＭシステムズ","2026/02/24",100,700,654,-18,-2.68,-4600,-6.57,65400,
"8593 三菱ＨＣキャピタル","----/--/--",106,1474,1406.5,-41,-2.83,-7155,-4.58,149089,
"190A Ｃｈｏｒｄｉａ","2026/03/02",100,158,127,-5,-3.79,-3100,-19.62,12700,
"2502 アサヒ","----/--/--",17,1639,1578,+3,+0.19,-1037,-3.72,26826,
"2914 ＪＴ","----/--/--",12,5749,6056,+78,+1.30,+3684,+5.34,72672,
"3003 ヒューリック","----/--/--",43,1933,1841,-19,-1.02,-3956,-4.76,79163,
"5401 日本製鉄","----/--/--",17,612,574.7,-22.4,-3.75,-634.1,-6.09,9769.9,
"5970 ジーテクト","----/--/--",79,1895,1802,-72,-3.84,-7347,-4.91,142358,
"7267 ホンダ","----/--/--",55,1469,1270.5,-69.5,-5.19,-10917.5,-13.51,69877.5,
"8306 三菱ＵＦＪ","----/--/--",12,2707,2621,-94,-3.46,-1032,-3.18,31452,
"8001 伊藤忠","2026/03/03",10,2178,1995,-67.5,-3.27,-1830,-8.40,19950,
"1928 積水ハウス","----/--/--",8,3519,3529,-22,-0.62,+80,+0.28,28232,
"3289 東急不ＨＤ","2026/03/05",5,1446,1312,-50,-3.67,-670,-9.27,6560,
"4221 大倉工","2026/03/05",2,4925,4690,-70,-1.47,-470,-4.77,9380,
"8425 みずほリース","2026/03/05",5,1458,1386,-42,-2.94,-360,-4.94,6930,
"8058 三菱商事","----/--/--",8,5180,5669,-93,-1.61,+3912,+9.44,45352,
"8725 ＭＳ＆ＡＤ","----/--/--",8,4067,4021,-187,-4.44,-368,-1.13,32168,
"8473 ＳＢＩ","----/--/--",10,2964,2866,-117,-3.92,-980,-3.31,28660,
"8766 東京海上","2026/03/11",2,6016,7268,-243,-3.24,+2504,+20.81,14536,
"1911 住友林","2026/03/12",5,1461,1401.5,-28.5,-1.99,-297.5,-4.07,7007.5,
"1605 ＩＮＰＥＸ","2026/03/13",5,4383,4892,-8,-0.16,+2545,+11.61,24460,
"7203 トヨタ自","2026/03/13",3,3398,3224,-184,-5.40,-522,-5.12,9672,
"8729 ソニーＦＧ","----/--/--",200,148,143.2,-6.2,-4.15,-960,-3.24,28640,
"8316 三井住友","2026/03/17",3,5111,5053,-193,-3.68,-174,-1.13,15159,
"4452 花王","2026/03/19",2,6017,6031,-116,-1.89,+28,+0.23,12062,
"7272 ヤマハ発","----/--/--",9,1095,1118.5,-21,-1.84,+211.5,+2.15,10066.5,
"9201 ＪＡＬ","2026/03/19",3,2609,2582,-103.5,-3.85,-81,-1.03,7746,
"4503 アステラス薬","2026/03/23",3,2350,2558.5,-51,-1.95,+625.5,+8.87,7675.5,
"9433 ＫＤＤＩ","2026/03/30",1,2650,2709,-14,-0.51,+59,+2.23,2709,
"株式(現物/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
1296532.9,-33882.1,-2.55,-32894.3,-2.47,
"投資信託（金額/NISA預り（成長投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ＳＢＩ・Ｓ・米国高配当株式ファンド（年４回決算型）","----/--/--",386617,9946,11604,+35,+0.30,+64101.09,+16.67,448630.36,
"投資信託(金額/NISA預り(成長投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
448630.36,+64101.09,+16.67,+1353.16,+0.30,
"投資信託（金額/NISA預り（つみたて投資枠））",
"ファンド名","買付日","数量","取得単価","現在値","前日比","前日比（％）","損益","損益（％）","評価額",
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）","----/--/--",7588,39537,37897,-652,-1.69,-1244.43,-4.15,28756.24,
"ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）","----/--/--",117082,29894,32734,-504,-1.52,+33251.28,+9.50,383256.21,
"投資信託(金額/NISA預り(つみたて投資枠))合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
412012.46,+32006.85,+8.42,-6395.67,-1.53,
"総合計",
"評価額","含み損益","含み損益（％）","前日比","前日比（％）",
2179839.22,+59747.35,+2.82,-38738.81,-1.75
